Date,AdvDeclVolumeLine
2022-01-03,0.0
2022-01-04,308762411.0
2022-01-05,-1779562588.0
2022-01-06,-1256704491.0
2022-01-07,-1385935011.0
2022-01-10,-1012114640.0
2022-01-11,902592150.0
2022-01-12,1895695414.0
2022-01-13,1043611933.0
2022-01-14,2014618451.0
2022-01-18,-493021602.0
2022-01-19,-2506443179.0
2022-01-20,-4734816106.0
2022-01-21,-8335750548.0
2022-01-24,-9479799408.0
2022-01-25,-11296444243.0
2022-01-26,-11380072585.0
2022-01-27,-13039244167.0
2022-01-28,-10329681154.0
2022-01-31,-7419197482.0
2022-02-01,-5811995114.0
2022-02-02,-4237590229.0
2022-02-03,-6895561599.0
2022-02-04,-6381001255.0
2022-02-07,-5864172765.0
2022-02-08,-4434356219.0
2022-02-09,-2168668484.0
2022-02-10,-4822325490.0
2022-02-11,-7432450399.0
2022-02-14,-7960225343.0
2022-02-15,-5499959010.0
2022-02-16,-4919103346.0
2022-02-17,-7605473762.0
2022-02-18,-9512784146.0
2022-02-22,-12122415278.0
2022-02-23,-14759435830.0
2022-02-24,-12950018459.0
2022-02-25,-9904380853.0
2022-02-28,-10156541649.0
2022-03-01,-12632652084.0
2022-03-02,-9520397746.0
2022-03-03,-10604914074.0
2022-03-04,-11935005420.0
2022-03-07,-15111960402.0
2022-03-08,-14489898850.0
2022-03-09,-11992656379.0
2022-03-10,-12821760853.0
2022-03-11,-14751101674.0
2022-03-14,-16198992517.0
2022-03-15,-13761347344.0
2022-03-16,-11104255422.0
2022-03-17,-9058405460.0
2022-03-18,-6444618643.0
2022-03-21,-6107067690.0
2022-03-22,-5469330753.0
2022-03-23,-7049876633.0
2022-03-24,-4248972688.0
2022-03-25,-3913604879.0
2022-03-28,-2836391018.0
2022-03-29,-617822299.0
2022-03-30,-1950636791.0
2022-03-31,-4632454218.0
2022-04-01,-4944281764.0
2022-04-04,-3867472028.0
2022-04-05,-5692739359.0
2022-04-06,-7469955889.0
2022-04-07,-7906243720.0
2022-04-08,-8222382949.0
2022-04-11,-9820520219.0
2022-04-12,-11027123823.0
2022-04-13,-8986286973.0
2022-04-14,-10460951021.0
2022-04-18,-9803306290.0
2022-04-19,-7605255290.0
2022-04-20,-7952871621.0
2022-04-21,-10177330940.0
2022-04-22,-13392298169.0
2022-04-25,-12273963003.0
2022-04-26,-15411698184.0
2022-04-27,-16302427681.0
2022-04-28,-13723698515.0
2022-04-29,-17448944441.0
2022-05-02,-15751462050.0
2022-05-03,-14014017938.0
2022-05-04,-10574762865.0
2022-05-05,-14188213994.0
2022-05-06,-15710227820.0
2022-05-09,-19228223324.0
2022-05-10,-18122120846.0
2022-05-11,-20551318865.0
2022-05-12,-21662997888.0
2022-05-13,-18475197189.0
2022-05-16,-19647862144.0
2022-05-17,-17009104226.0
2022-05-18,-20554078369.0
2022-05-19,-20601771407.0
2022-05-20,-21567259314.0
2022-05-23,-19093265286.0
2022-05-24,-20819331575.0
2022-05-25,-18201326664.0
2022-05-26,-14996928760.0
2022-05-27,-12127542366.0
2022-05-31,-14688168643.0
2022-06-01,-16232921786.0
2022-06-02,-13959179098.0
2022-06-03,-16211459124.0
2022-06-06,-15188705951.0
2022-06-07,-13797379636.0
2022-06-08,-15400587056.0
2022-06-09,-17923052884.0
2022-06-10,-20877573024.0
2022-06-13,-24734382260.0
2022-06-14,-24737280559.0
2022-06-15,-22266202242.0
2022-06-16,-25962817875.0
2022-06-17,-24787847303.0
2022-06-21,-22209263638.0
2022-06-22,-23263164363.0
2022-06-23,-23420118945.0
2022-06-24,-19498662564.0
2022-06-27,-20363591358.0
2022-06-28,-22416946225.0
2022-06-29,-23843696895.0
2022-06-30,-26250096702.0
2022-07-01,-25734787734.0
2022-07-05,-25122317614.0
2022-07-06,-24756799562.0
2022-07-07,-22521269140.0
2022-07-08,-23235611633.0
2022-07-11,-24955938045.0
2022-07-12,-25926866759.0
2022-07-13,-25946357567.0
2022-07-14,-26288043851.0
2022-07-15,-23609752757.0
2022-07-18,-22880376453.0
2022-07-19,-19899800266.0
2022-07-20,-17966120631.0
2022-07-21,-16512650466.0
2022-07-22,-18201186035.0
2022-07-25,-18586792747.0
2022-07-26,-20232340582.0
2022-07-27,-17620737694.0
2022-07-28,-15877417540.0
2022-07-29,-13976144747.0
2022-08-01,-13166506457.0
2022-08-02,-13326425766.0
2022-08-03,-11587781763.0
2022-08-04,-11422375333.0
2022-08-05,-11994553012.0
2022-08-08,-12809468140.0
2022-08-09,-13996021243.0
2022-08-10,-11332455606.0
2022-08-11,-11434633031.0
2022-08-12,-9201537137.0
2022-08-15,-8296524379.0
2022-08-16,-8321074678.0
2022-08-17,-9978639683.0
2022-08-18,-9225405907.0
2022-08-19,-11008095691.0
2022-08-22,-13338955401.0
2022-08-23,-12970161567.0
2022-08-24,-11616037893.0
2022-08-25,-9359156247.0
2022-08-26,-12212474123.0
2022-08-29,-13624760098.0
2022-08-30,-15721720301.0
2022-08-31,-17962230146.0
2022-09-01,-19128968204.0
2022-09-02,-20996590929.0
2022-09-06,-22584006105.0
2022-09-07,-20215472698.0
2022-09-08,-18487133449.0
2022-09-09,-16194855038.0
2022-09-12,-14111863790.0
2022-09-13,-17482609756.0
2022-09-14,-17784117073.0
2022-09-15,-19141988638.0
2022-09-16,-20954867472.0
2022-09-19,-19184631795.0
2022-09-20,-21582928985.0
2022-09-21,-22943710013.0
2022-09-22,-25248577683.0
2022-09-23,-28356430517.0
2022-09-26,-30610380367.0
2022-09-27,-30191341412.0
2022-09-28,-27397722489.0
2022-09-29,-30201772305.0
2022-09-30,-32649114701.0
2022-10-03,-29827325674.0
2022-10-04,-26389854056.0
2022-10-05,-26228883844.0
2022-10-06,-28260176231.0
2022-10-07,-31306604259.0
2022-10-10,-33159518560.0
2022-10-11,-34873920287.0
2022-10-12,-35258377447.0
2022-10-13,-31890875252.0
2022-10-14,-34558691123.0
2022-10-17,-31683000596.0
2022-10-18,-29333230308.0
2022-10-19,-29555018186.0
2022-10-20,-29383990945.0
2022-10-21,-26260324967.0
2022-10-24,-24470975927.0
2022-10-25,-21738760327.0
2022-10-26,-22183952019.0
2022-10-27,-22081124912.0
2022-10-28,-19684906984.0
2022-10-31,-21301924406.0
2022-11-01,-20610694022.0
2022-11-02,-23932223024.0
2022-11-03,-24258101744.0
2022-11-04,-22163783839.0
2022-11-07,-20795374680.0
2022-11-08,-19256805703.0
2022-11-09,-21808546483.0
2022-11-10,-17800327134.0
2022-11-11,-15430111087.0
2022-11-14,-17145661144.0
2022-11-15,-14857107701.0
2022-11-16,-16919241168.0
2022-11-17,-17945465016.0
2022-11-18,-17845117561.0
2022-11-21,-18694066120.0
2022-11-22,-16574725041.0
2022-11-23,-15190694870.0
2022-11-25,-15314606502.0
2022-11-28,-17063605508.0
2022-11-29,-17200010132.0
2022-11-30,-13272883481.0
2022-12-01,-12903856930.0
2022-12-02,-13689371368.0
2022-12-05,-16175837190.0
2022-12-06,-18224509103.0
2022-12-07,-18449393324.0
2022-12-08,-17255416138.0
2022-12-09,-18633249650.0
2022-12-12,-16310614477.0
2022-12-13,-14720035134.0
2022-12-14,-16358837190.0
2022-12-15,-19044208920.0
2022-12-16,-23154318588.0
2022-12-19,-25041019334.0
2022-12-20,-25370070038.0
2022-12-21,-23332011498.0
2022-12-22,-25654909147.0
2022-12-23,-25342194316.0
2022-12-27,-26085184169.0
2022-12-28,-27454081277.0
2022-12-29,-25417015212.0
2022-12-30,-25264732595.0
2023-01-03,-25723869569.0
2023-01-04,-23637876049.0
2023-01-05,-25055939795.0
2023-01-06,-22274793612.0
2023-01-09,-21207078372.0
2023-01-10,-19951602860.0
2023-01-11,-18191573168.0
2023-01-12,-16637589957.0
2023-01-13,-15894441753.0
2023-01-17,-15626723670.0
2023-01-18,-18361045445.0
2023-01-19,-20142429758.0
2023-01-20,-17347308606.0
2023-01-23,-15073631475.0
2023-01-24,-14818768485.0
2023-01-25,-13700589910.0
2023-01-26,-12057591019.0
2023-01-27,-10938157967.0
2023-01-30,-13052066964.0
2023-01-31,-10060486726.0
2023-02-01,-7790168976.0
2023-02-02,-5381715480.0
2023-02-03,-6917505746.0
2023-02-06,-8153815036.0
2023-02-07,-6068167749.0
2023-02-08,-6672471741.0
2023-02-09,-7374621666.0
2023-02-10,-7831684884.0
2023-02-13,-5973318521.0
2023-02-14,-4978176407.0
2023-02-15,-4551787463.0
2023-02-16,-6669037938.0
2023-02-17,-7325091917.0
2023-02-21,-9754805412.0
2023-02-22,-9570720305.0
2023-02-23,-7987628867.0
2023-02-24,-9905944448.0
2023-02-27,-8992489150.0
2023-02-28,-10171551569.0
2023-03-01,-11225942941.0
2023-03-02,-10037718501.0
2023-03-03,-7762954388.0
2023-03-06,-8817099172.0
2023-03-07,-11129148374.0
2023-03-08,-10472427461.0
2023-03-09,-13188699560.0
2023-03-10,-15784868838.0
2023-03-13,-16554342854.0
2023-03-14,-13804036183.0
2023-03-15,-14407533753.0
2023-03-16,-11230278161.0
2023-03-17,-14302541833.0
2023-03-20,-12577370579.0
2023-03-21,-10380929250.0
2023-03-22,-11838551581.0
2023-03-23,-11251453305.0
2023-03-24,-11094944130.0
2023-03-27,-10725844042.0
2023-03-28,-11152091337.0
2023-03-29,-8698274138.0
2023-03-30,-7496306990.0
2023-03-31,-4965369284.0
2023-04-03,-4597622201.0
2023-04-04,-6012781631.0
2023-04-05,-7092219984.0
2023-04-06,-6445179715.0
2023-04-10,-5509893307.0
2023-04-11,-5206774462.0
2023-04-12,-6701036457.0
2023-04-13,-5878911041.0
2023-04-14,-5824621947.0
2023-04-17,-4577312259.0
2023-04-18,-3834640329.0
2023-04-19,-3600429428.0
2023-04-20,-5374379554.0
2023-04-21,-5049302333.0
2023-04-24,-5504956905.0
2023-04-25,-7699403839.0
2023-04-26,-8427442837.0
2023-04-27,-5919906475.0
2023-04-28,-4055306124.0
2023-05-01,-3587288702.0
2023-05-02,-5715479957.0
2023-05-03,-6980613587.0
2023-05-04,-8517399467.0
2023-05-05,-5993295880.0
2023-05-08,-5239315737.0
2023-05-09,-5908560172.0
2023-05-10,-5502078966.0
2023-05-11,-6272501718.0
2023-05-12,-7058616600.0
2023-05-15,-6222780024.0
2023-05-16,-6768323057.0
2023-05-17,-4612228971.0
2023-05-18,-2629621394.0
2023-05-19,-3644818881.0
2023-05-22,-3549720099.0
2023-05-23,-4578120383.0
2023-05-24,-6628881008.0
2023-05-25,-5003068311.0
2023-05-26,-2472849460.0
2023-05-30,-1459803762.0
2023-05-31,-3408729010.0
2023-06-01,-1437605505.0
2023-06-02,-96283486.0
2023-06-05,-454039195.0
2023-06-06,167671979.0
2023-06-07,320234003.0
2023-06-08,1228508000.0
2023-06-09,1876200524.0
2023-06-12,3361720705.0
2023-06-13,5343778977.0
2023-06-14,6019057141.0
2023-06-15,6994628573.0
2023-06-16,7010758745.0
2023-06-20,6193939562.0
2023-06-21,4754396614.0
2023-06-22,4096330458.0
2023-06-23,1442982397.0
2023-06-26,889985357.0
2023-06-27,2809590094.0
2023-06-28,2356844573.0
2023-06-29,2684533314.0
2023-06-30,5068722005.0
2023-07-03,5863573533.0
2023-07-05,5424418730.0
2023-07-06,3374686270.0
2023-07-07,3690794911.0
2023-07-10,3870159834.0
2023-07-11,5476146343.0
2023-07-12,6812353785.0
2023-07-13,8294790777.0
2023-07-14,6906145821.0
2023-07-17,7616138579.0
2023-07-18,9172995051.0
2023-07-19,9334046676.0
2023-07-20,8280286401.0
2023-07-21,8012134100.0
2023-07-24,9174291877.0
2023-07-25,9582146004.0
2023-07-26,9463444831.0
2023-07-27,9244925497.0
2023-07-28,10541479021.0
