Date,Open,Open,Open,Open,Open,High,High,High,High,High,Low,Low,Low,Low,Low,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume
2022-01-03,69.23278985499576,224.985054945537,140.52000427246094,132.9499969482422,91.90243037631447,69.23278985499576,227.0493963581924,141.8000030517578,133.19749450683594,96.04564137749219,68.07978566396449,223.10313191536707,139.88999938964844,128.25,91.87680330177663,68.9599380493164,226.0988311767578,141.1699981689453,130.19749450683594,95.54161834716797,2348700,1499100,1398000,3693600,2002000
2022-01-04,68.98633261382956,224.1400880323335,141.0800018310547,129.27499389648438,96.79740233156748,69.57603973908022,226.51168795204873,142.16000366210938,129.9499969482422,102.25619109818466,68.68708406477218,223.72721099625915,139.85000610351562,125.73750305175781,96.31046833653109,68.7398910522461,224.3897247314453,140.50999450683594,128.0675048828125,101.82905578613281,2872800,1348500,1831000,3028800,4505400
2022-01-05,69.52323855995591,224.64898924809225,140.83999633789062,126.83499908447266,103.6913655018531,70.56181869587442,227.55827744589803,143.36000061035156,128.58250427246094,105.49387703132948,69.02155194349706,223.41037269799557,139.82000732421875,121.91500091552734,100.22302887052301,69.71687316894531,224.4857635498047,140.39999389648438,121.95249938964844,100.89790344238281,3971500,1829500,1888000,2818800,3375500
2022-01-06,69.68166379764722,217.65902506725064,139.19000244140625,121.53250122070312,105.03255332093882,70.81706119784184,227.0782075698735,144.4600067138672,123.61000061035156,106.28833197427495,69.47042910215494,217.65902506725064,138.63999938964844,120.0999984741211,103.47778130194325,69.58484649658203,226.40609741210938,142.82000732421875,120.75,105.63054656982422,3460700,3011800,1768900,2994800,3343300
2022-01-07,69.3208047196634,226.1660541359783,142.57000732421875,120.75,105.92953721555595,70.93147850395276,230.57319209730198,143.8699951171875,123.0,106.51898591955408,68.91593542254483,225.30189995768384,140.57000732421875,117.7874984741211,102.70039591421495,70.5970230102539,228.77769470214844,140.9600067138672,117.87249755859375,103.81094360351562,2762500,2315700,1712700,4933200,2441400
2022-01-10,70.8962686981349,228.77767485850612,140.22999572753906,111.0425033569336,103.87930098190361,71.04589297382853,230.19870971507888,140.61000061035156,115.74749755859375,104.0672415518755,69.97210611997274,225.34989141863733,134.57000732421875,108.86750030517578,100.53056188033986,70.26255798339844,226.895751953125,135.74000549316406,115.58499908447266,103.66573333740234,3073300,2460900,3142000,5629600,2356800
2022-01-11,70.41218882834075,226.56931337938403,135.55999755859375,116.01750183105469,104.40894502565648,70.57061652180569,227.55827856563508,137.2899932861328,120.67500305175781,106.71547284534942,69.13597059183891,218.46554786606688,134.67999267578125,115.57250213623047,101.56422260181944,69.64645385742188,219.54092407226562,137.11000061035156,120.2925033569336,106.2370834350586,2921200,2644400,2094100,4856400,3423500
2022-01-12,69.40881329010278,220.1170343249321,137.94000244140625,121.61499786376953,107.30491546961063,70.11293784020685,220.25145635527764,139.0500030517578,125.3499984741211,107.3732586721982,69.12716481306703,217.97587818053444,136.0800018310547,120.9124984741211,104.4601932081769,69.81368255615234,219.49293518066406,136.89999389648438,122.59500122070312,106.41647338867188,2344000,1324600,3245800,4424000,3475000
2022-01-13,69.12716281836411,219.07044384440408,137.69000244140625,122.29000091552734,106.09185693540874,70.20974639275106,219.8673796201858,137.77999877929688,122.29000091552734,108.72300515813775,69.0303455276428,213.8567594597097,133.77000427246094,113.80750274658203,105.52803526924532,70.19214630126953,214.17361450195312,134.1300048828125,113.94499969482422,105.99788665771484,3052900,1940200,5568300,4412000,2634300
2022-01-14,70.19214582869566,210.26573539099638,132.36000061035156,113.27999877929688,106.44210819296548,70.33297341971644,210.9570527221806,132.75,116.44249725341797,110.49134873572979,69.38240732541362,204.94643340665644,127.5,109.49250030517578,106.44210819296548,69.68165588378906,208.43182373046875,130.80999755859375,111.83499908447266,110.38030242919922,2580600,4141900,3482600,3527600,1942200
2022-01-18,69.25919306833244,204.3127516747683,129.72000122070312,109.70249938964844,111.38833920145993,69.35601036752679,207.68292779322812,129.77000427246094,110.73999786376953,112.55014769911422,68.34383378551395,200.09764342978826,127.7300033569336,107.13749694824219,105.75869926850955,69.05675506591797,204.62001037597656,129.0399932861328,107.46749877929688,107.58683776855469,2722700,2700700,3741600,3698000,4453700
2022-01-19,68.96874068212516,205.96426280887277,129.57000732421875,108.76499938964844,108.50089695846218,70.1393449531599,212.41655003529726,133.05999755859375,112.11000061035156,109.17577142890573,68.79271289303516,205.41697830666098,129.10000610351562,108.55750274658203,105.51095023798818,69.55844116210938,211.17794799804688,131.32000732421875,108.80750274658203,107.39034271240234,3681700,2327600,4711200,3367200,2098600
2022-01-20,69.46163514392128,212.82937864256328,132.1300048828125,109.50250244140625,105.11799480715868,70.72025351389614,213.52069602004437,133.24000549316406,113.73750305175781,110.34612645277721,69.45283845355904,202.85330231998813,127.7300033569336,108.48750305175781,103.96472433938553,69.61125946044922,203.65023803710938,127.97000122070312,108.66000366210938,104.14412689208984,2982200,3147500,3009200,3406800,2670500
2022-01-21,70.27136556966546,203.23737805260674,127.58999633789062,108.61000061035156,101.84614298421015,70.79946239053376,206.30989184843529,128.86000061035156,108.61000061035156,103.16172050335695,69.51444067081627,201.78753949684585,125.79000091552734,105.29499816894531,98.59991206500969,69.80488586425781,201.80673217773438,126.2300033569336,105.5250015258789,100.7953872680664,3831300,2060100,3470600,3606800,3212200
2022-01-24,69.62004621238479,200.14566443822523,123.62000274658203,103.8499984741211,96.51548536401212,70.06012236633796,208.2782336247392,132.75999450683594,106.88749694824219,102.63205884399922,67.63090011630831,199.7328020201021,123.62000274658203,100.64749908447266,93.29488188224884,69.07435607910156,207.9517822265625,132.14999389648438,106.7074966430664,102.01698303222656,4992600,2468400,5619200,4809200,3537000
2022-01-25,68.2206122835986,206.73234779228252,130.47999572753906,104.0,101.29940660965033,69.17117174262812,206.7707624526199,132.75,104.68000030517578,109.45769322902247,67.95656388579447,200.8465537475489,128.6699981689453,99.79000091552734,98.40342987431747,68.63428497314453,203.56381225585938,131.35000610351562,101.55750274658203,108.47528076171875,3195100,2283200,2423500,4021600,3375500
2022-01-26,68.43185023063012,204.1591497615694,131.57000732421875,103.33499908447266,110.8159834623864,69.28559914714053,205.82022509766875,131.83999633789062,104.4000015258789,112.41346531584726,67.66611521256789,195.07601528811497,126.81999969482422,97.50250244140625,106.91196707448086,68.17660522460938,196.55467224121094,127.5999984741211,98.9574966430664,108.83407592773438,3538100,2327700,2141000,3732400,3170400
2022-01-27,68.85430724327645,196.83312499321923,129.27999877929688,100.0374984741211,112.33659386557295,69.7696595912447,200.83699704594855,130.83999633789062,100.47000122070312,114.52352470995778,68.41423115808749,196.81391765925972,127.69000244140625,95.50499725341797,107.6466496804388,68.83670043945312,197.15957641601562,128.3000030517578,95.87999725341797,109.89337921142578,3137600,2232300,1561700,3961600,2673700
2022-01-28,68.72230457884264,196.98672457176923,127.8499984741211,96.73999786376953,110.42300077666522,69.97211944025631,196.98672457176923,128.69000244140625,103.5,111.50792796778394,68.12380064710464,192.74281276453544,125.7699966430664,95.51000213623047,106.83506726291893,69.9369125366211,196.18978881835938,128.49000549316406,103.34750366210938,109.96170043945312,2686000,2080400,1547000,5807600,2358700
2022-01-31,69.22397232539092,196.3626116307426,128.2100067138672,103.75,109.34663502346753,71.34513564943816,200.80816380458398,131.32000732421875,108.0625,110.73054920174019,68.56385817107702,196.24739694575524,128.0,103.75,106.95467477530224,70.99308013916016,200.17445373535156,131.22000122070312,107.62000274658203,107.7747802734375,5568100,2901900,2040100,3643600,2421900
2022-02-01,70.82586018351869,200.1168608182222,130.91000366210938,108.5250015258789,106.63005644559979,71.17792246406212,201.5666994287946,134.39999389648438,109.67749786376953,112.10592762374078,69.86649063691357,197.23637627869147,130.4199981689453,106.17250061035156,104.73357466342037,70.43859100341797,200.78897094726562,134.24000549316406,108.76000213623047,111.23458099365234,3626300,1705400,1674600,3301600,3556400
2022-02-02,70.3857780187533,200.18408902720302,133.89999389648438,109.75,111.04662291185385,71.71480982500823,201.86437175811355,134.66000366210938,110.4124984741211,112.60993943369074,69.99850887162576,198.31176226346625,132.07000732421875,106.45999908447266,108.69737260551275,71.57398223876953,198.45579528808594,133.72999572753906,108.9175033569336,111.88380432128906,3496200,2020300,2008200,2623200,2201100
2022-02-03,71.51238215571216,197.35159545381524,132.85000610351562,107.8550033569336,110.56823796466043,71.88204455032529,199.38714787059078,133.83999633789062,109.52249908447266,111.56774604176928,71.01949896289466,196.9003330112038,131.25,104.12000274658203,108.27025447297267,71.3011474609375,197.18836975097656,131.83999633789062,104.68250274658203,110.53407287597656,2371100,1850700,1951800,2790400,1822000
