         230092493 function calls (224420069 primitive calls) in 272.603 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   4699/7    0.187    0.000  255.130   36.447 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:65(_get_text_metrics_with_cache)
   2153/3    0.108    0.000  255.130   85.043 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:358(_get_layout)
  1250043    4.491    0.000  132.959    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\frame.py:1505(iterrows)
1277352/1277349   15.397    0.000  120.849    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\series.py:389(__init__)
        1    2.400    2.400   62.251   62.251 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\analysis\indicators\volume_indicators.py:11(compute_and_store_volume_mas)
        1    2.397    2.397   62.083   62.083 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\analysis\indicators\price_indicators.py:9(compute_and_store_price_ma_deviation)
        1    2.266    2.266   59.464   59.464 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\analysis\indicators\volume_indicators.py:67(compute_and_store_volume_ma_deviation)
       16    1.066    0.067   49.266    3.079 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\psycopg2\extras.py:1219(execute_values)
        1    1.798    1.798   48.900   48.900 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\db_helpers.py:164(write_phase_details_to_db)
1295818/1295670    9.419    0.000   42.072    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
2312/1317   37.246    0.016   36.870    0.028 {method 'execute' of 'psycopg2.extensions.cursor' objects}
  3264920    7.802    0.000   30.957    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\series.py:1095(__getitem__)
  515/129    0.010    0.000   26.665    0.207 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\io\sql.py:1643(__exit__)
      113    0.000    0.000   24.618    0.218 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\threading.py:1056(join)
      113    0.001    0.000   24.615    0.218 {method 'join' of '_thread._ThreadHandle' objects}
45470/42635    0.240    0.000   24.565    0.001 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\frame.py:4062(__getitem__)
  515/129    0.019    0.000   23.810    0.185 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:625(close)
  531/145    0.011    0.000   21.882    0.151 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:571(__exit__)
  515/129    0.015    0.000   21.252    0.165 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:234(__exit__)
     7057    0.032    0.000   21.111    0.003 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\frame.py:4130(_getitem_bool_array)
1256652/1256565   12.379    0.000   19.945    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\dtypes\cast.py:1156(maybe_infer_to_datetimelike)
    11446    0.049    0.000   19.674    0.002 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\blocks.py:1287(take_nd)
  515/129    0.013    0.000   19.304    0.150 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:1216(close)
56755608/56601320   13.084    0.000   17.129    0.000 {built-in method builtins.isinstance}
  1478673    4.113    0.000   16.679    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\generic.py:6301(__setattr__)
  1277348    4.650    0.000   16.480    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\managers.py:1863(from_array)
  515/143    0.032    0.000   15.835    0.111 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:2574(close)
16529/15962    0.048    0.000   15.742    0.001 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\array_algos\take.py:59(take_nd)
  515/499    0.001    0.000   14.841    0.030 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\pool\base.py:1512(_close_special)
  3264914    5.414    0.000   14.667    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\series.py:1220(_get_value)
  515/143    0.005    0.000   14.631    0.102 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:2723(_do_close)
  515/499    0.002    0.000   13.759    0.028 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\pool\base.py:1384(_checkin)
  515/103    0.026    0.000   13.405    0.130 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\io\sql.py:2037(has_table)
2145/1673    0.030    0.000   13.286    0.008 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\frame.py:694(__init__)
   570/99    0.053    0.000   13.205    0.133 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\construction.py:423(dict_to_mgr)
       12    0.000    0.000   12.852    1.071 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\concurrent\futures\_base.py:646(__exit__)
       12    0.000    0.000   12.851    1.071 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\concurrent\futures\thread.py:220(shutdown)
   113/12    0.004    0.000   12.849    1.071 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\threading.py:998(_bootstrap)
   113/12    0.003    0.000   12.849    1.071 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\threading.py:1025(_bootstrap_inner)
   113/12    0.001    0.000   12.847    1.071 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\threading.py:981(run)
11658/11277    0.114    0.000   12.624    0.001 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\frame.py:4271(__setitem__)
        1    0.002    0.002   12.505   12.505 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\db_helpers.py:291(batch_fetch_from_db)
